IP,Status
10.128.2.1,200
10.128.2.1,302
10.128.2.1,200
10.131.2.1,200
10.130.2.1,200
10.130.2.1,200
10.128.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,302
10.131.2.1,200
10.130.2.1,200
10.130.2.1,200
10.130.2.1,302
10.130.2.1,200
10.129.2.1,302
10.131.0.1,200
10.131.0.1,200
10.130.2.1,302
10.131.2.1,200
10.131.2.1,200
10.128.2.1,200
10.131.0.1,200
10.128.2.1,200
10.131.0.1,200
10.129.2.1,200
10.131.0.1,200
10.128.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,302
10.131.2.1,200
10.131.2.1,302
10.131.2.1,200
10.131.2.1,302
10.131.2.1,200
10.131.2.1,302
10.130.2.1,200
10.129.2.1,302
10.128.2.1,200
10.128.2.1,200
10.128.2.1,200
10.128.2.1,200
10.131.2.1,302
10.129.2.1,200
10.129.2.1,302
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.128.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.128.2.1,200
10.131.0.1,200
10.131.2.1,200
10.131.2.1,304
10.128.2.1,304
10.131.0.1,304
10.131.2.1,304
10.131.0.1,304
10.128.2.1,304
10.131.2.1,304
10.131.2.1,304
10.128.2.1,304
10.131.2.1,200
10.130.2.1,200
10.130.2.1,200
10.130.2.1,304
10.130.2.1,200
10.128.2.1,200
10.128.2.1,200
10.129.2.1,200
10.129.2.1,200
10.129.2.1,200
10.131.0.1,200
10.128.2.1,200
10.128.2.1,200
10.128.2.1,200
10.128.2.1,200
10.128.2.1,200
10.128.2.1,302
10.129.2.1,200
10.129.2.1,302
10.129.2.1,200
10.131.0.1,200
10.131.2.1,200
10.131.2.1,304
10.131.2.1,200
10.131.2.1,200
10.130.2.1,200
10.128.2.1,200
10.128.2.1,302
10.130.2.1,200
10.130.2.1,200
10.130.2.1,302
10.130.2.1,200
10.130.2.1,200
10.130.2.1,200
10.130.2.1,302
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.128.2.1,200
10.131.2.1,302
10.128.2.1,200
10.128.2.1,200
10.128.2.1,200
10.131.2.1,200
10.130.2.1,200
10.131.0.1,200
10.128.2.1,200
10.130.2.1,200
10.131.2.1,200
10.128.2.1,200
10.128.2.1,302
10.128.2.1,200
10.128.2.1,200
10.130.2.1,200
10.128.2.1,200
10.128.2.1,302
10.130.2.1,200
10.130.2.1,200
10.130.2.1,302
10.131.2.1,200
10.131.2.1,200
10.131.2.1,302
10.129.2.1,200
10.129.2.1,200
10.128.2.1,200
10.128.2.1,302
10.128.2.1,200
10.128.2.1,200
10.128.2.1,200
10.128.2.1,302
10.128.2.1,200
10.128.2.1,200
10.129.2.1,302
10.129.2.1,200
10.129.2.1,200
10.129.2.1,200
10.129.2.1,200
10.129.2.1,200
10.129.2.1,302
10.130.2.1,200
10.130.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.0.1,302
10.129.2.1,200
10.129.2.1,302
10.131.0.1,200
10.131.0.1,302
10.129.2.1,200
10.129.2.1,200
10.129.2.1,302
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.130.2.1,200
10.130.2.1,302
10.129.2.1,200
10.129.2.1,200
10.129.2.1,200
10.129.2.1,200
10.128.2.1,200
10.128.2.1,302
10.131.0.1,200
10.131.0.1,200
10.131.0.1,302
10.129.2.1,200
10.129.2.1,200
10.131.2.1,302
10.129.2.1,200
10.129.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.2.1,302
10.131.2.1,200
10.131.2.1,200
10.131.0.1,200
10.131.0.1,302
10.131.2.1,200
10.131.2.1,200
10.131.2.1,200
10.131.0.1,302
10.131.0.1,200
10.131.0.1,200
10.131.2.1,200
10.130.2.1,200
10.131.2.1,200
10.131.0.1,200
10.130.2.1,200
10.131.2.1,200
10.130.2.1,200
10.131.2.1,302
10.131.0.1,200
10.131.2.1,302
10.131.2.1,200
10.129.2.1,200
10.131.0.1,200
